Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Tx Power,Skip,Step,Clock Shift,Bank 1,Bank 2,Bank 3,Bank 4,Bank 5,Bank 6,Bank 7,Bank 8,Bank 9,Bank 10,Comment,Tx Narrow,Pager Enable,
1,441.30000,446.30000,5.00 MHz,Plus,Auto,ECE 70,On,Tone,100.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,5 COUNTY MULTICAST REPEATER SYSTEM,Off,Off,
2,440.55000,445.55000,5.00 MHz,Plus,Auto,AB6VU,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,LOMA PRIMARY REPEATER,Off,Off,
3,146.83500,146.23500,600 kHz,Minus,Auto,AE6KE,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,LOMA SECONDARY REPEATER,Off,Off,
4,146.74500,146.14500,600 kHz,Minus,Auto,W6JWS,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SLV PRIMARY REPEATER,Off,Off,
5,147.12000,147.72000,600 kHz,Plus,Auto,WR6AOK,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SLV SECONDARY REPEATER,Off,Off,
6,146.79000,146.19000,600 kHz,Minus,Auto,K6BJ2M,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,COASTAL PRIMARY REPEATER - LINKED TO KJ6FFP/W,Off,Off,
7,440.92500,445.92500,5.00 MHz,Plus,Auto,K6BJ70,On,Tone,123.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,COASTAL (NORTH) SECONDARY REPEATER,Off,Off,
8,147.94500,147.34500,600 kHz,Minus,Auto,KJ6FFP,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,COASTAL PRIMARY REPEATER - LINKED TO K6BJ,Off,Off,
9,147.00000,147.60000,600 kHz,Plus,Auto,K6RMW,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,COASTAL (SOUTH) SECONDARY REPEATER,Off,Off,
10,146.50500,146.50500, ,Simplex,Auto,LOMA1,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,LOMA SIMPLEX 1,Off,Off,
11,441.87500,441.87500, ,Simplex,Auto,LOMA2,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,LOMA SIMPLEX 2,Off,Off,
12,147.54000,147.54000, ,Simplex,Auto,LOMA3,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,LOMA SIMPLEX 3 + CERT,Off,Off,
13,147.55500,147.55500, ,Simplex,Auto,SLV1,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SLV SIMPLEX 1,Off,Off,
14,446.87500,446.87500, ,Simplex,Auto,SLV2,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SLV SIMPLEX 2,Off,Off,
15,147.45000,147.45000, ,Simplex,Auto,SLV3,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SLV SIMPLEX 3 + CERT,Off,Off,
16,146.53500,146.53500, ,Simplex,Auto,CSTL1,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,COASTAL SIMPLEX 1,Off,Off,
17,441.00000,441.00000, ,Simplex,Auto,CSTL2,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,COASTAL SIMPLEX 2,Off,Off,
18,147.57000,147.57000, ,Simplex,Auto,CSTL3,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,COASTAL SIMPLEX 3 + CERT,Off,Off,
19,146.56500,146.56500, ,Simplex,Auto,EQNEV,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,EQUINE EVAC SIMPLEX,Off,Off,
20,147.42000,147.42000, ,Simplex,Auto,RDCRS,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,RED CROSS SIMPLEX,Off,Off,
21,441.30000,441.30000, ,Simplex,Auto,ECE7SX,On,Tone,100.0 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,WB6ECE UHF SIMPLEX,Off,Off,
22,440.55000,440.55000, ,Simplex,Auto,VU_SX,On,Tone,94.8 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,AB6VU UHF SIMPLEX,Off,Off,
23,146.83500,146.83500, ,Simplex,Auto,KE_SX,On,Tone,94.8 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,AE6KE VHF SIMPLEX,Off,Off,
24,146.74500,146.74500, ,Simplex,Auto,JWS_SX,On,Tone,94.8 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,W6JWS VHF SIMPLEX,Off,Off,
25,147.12000,147.12000, ,Simplex,Auto,AOK_SX,On,Tone,94.8 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,WR6AOK VHF SIMPLEX,Off,Off,
26,146.79000,146.79000, ,Simplex,Auto,BJ_SX,On,Tone,94.8 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,K6BJ VHF SIMPLEX,Off,Off,
27,440.92500,440.92500, ,Simplex,Auto,BJ70SX,On,Tone,123.0 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,K6BJ UHF SIMPLEX,Off,Off,
28,147.94500,147.94500, ,Simplex,Auto,FFP_SX,On,Tone,94.8 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,KJ6FFP/W VHF SIMPLEX,Off,Off,
29,147.00000,147.00000, ,Simplex,Auto,RMW_SX,On,Tone,94.8 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,K6RMW VHF SIMPLEX,Off,Off,
30,146.46000,146.46000, ,Simplex,Auto,HSPT1,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,HOSPITAL SIMPLEX 1,Off,Off,
31,446.50000,446.50000, ,Simplex,Auto,HSPT2,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,HOSPITAL SIMPLEX 2,Off,Off,
32,441.87500,146.50500, ,Split,Auto,LOMAXB,On,Tone,94.8 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,LOMA AREA CROSSBAND,Off,Off,
33,446.87500,147.55500, ,Split,Auto,SLV XB,On,Tone,94.8 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SLV AREA CROSSBAND,Off,Off,
34,441.00000,146.53500, ,Split,Auto,CSTLXB,On,Tone,94.8 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,COASTAL AREA CROSSBAND,Off,Off,
35,443.05000,448.05000,5.00 MHz,Plus,Auto,K6RMW7,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,K6RMW UHF,Off,Off,
36,443.05000,443.05000, ,Simplex,Auto,RMW7SX,On,Tone,94.8 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,K6RMW UHF SIMPLEX,Off,Off,
37,440.65000,445.65000,5.00 MHz,Plus,Auto,KC6TYG,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,REDWOOD ESTATES/ LEXINGTON HILLS,Off,Off,
